period,mean_compound,article_count,positive_share,rolling_mean,z_score,is_anomaly
2012,0.11996756756756759,37,0.5405405405405406,,0.0,False
2012,0.10583636363636365,11,0.5454545454545454,,0.0,False
2012,-0.07610666666666667,15,0.3333333333333333,,0.0,False
2012,0.11151081081081082,74,0.5540540540540541,,0.0,False
2012,0.21552549019607842,102,0.6176470588235294,,0.0,False
2013,0.03138793103448275,58,0.4482758620689655,0.07567774930102517,-0.7071067811865475,False
2013,0.22515925925925925,27,0.5925925925925926,0.16549781144781145,0.7071067811865475,False
2013,0.1994421052631579,19,0.5263157894736842,0.06166771929824561,0.7071067811865476,False
2013,0.09667818181818183,55,0.4727272727272727,0.10409449631449633,-0.7071067811865476,False
2013,0.2231581081081081,148,0.6486486486486487,0.21934179915209326,0.7071067811865476,False
2014,0.21413478260869565,46,0.6086956521739131,0.2176061269709607,-0.71453635072593,False
2014,0.6376,3,1.0,0.2819296642096642,1.1543659812272624,False
2014,0.2940310344827586,29,0.6896551724137931,0.13912215769308325,0.8055577116830694,False
2014,0.37046666666666667,12,0.75,0.23382076318742984,1.0310750393204977,False
2014,0.2943627906976744,43,0.6744186046511628,0.14857276309990824,1.089605568042464,False
2014,0.20326363636363637,11,0.6363636363636364,,0.0,False
2015,0.22927083333333334,72,0.5694444444444444,0.18500718502183014,0.3231836218483811,False
2015,0.20074137931034483,58,0.5517241379310345,0.26545576841209023,-0.7052726882923843,False
2015,0.012158333333333332,48,0.4166666666666667,0.10771098484848485,-0.7071067811865475,False
2015,0.0630301204819277,83,0.46987951807228917,0.1855010867426147,-1.054604551759848,False
2015,0.1687981818181818,55,0.5818181818181818,0.3010254545454545,-0.450205629448393,False
2016,0.027045783132530116,83,0.46987951807228917,0.12803564603240547,-0.6970693914605277,False
2016,-0.019583908045977007,87,0.39080459770114945,0.06527935388366422,-0.7039834003464315,False
2016,-0.003966666666666662,84,0.42857142857142855,0.26747717171717167,-0.8176720128617289,False
2016,-0.06583928571428571,56,0.35714285714285715,0.15259811277224067,-1.1379816997325003,False
2016,0.10150909090909091,66,0.5,0.2242390456287008,-0.9023615063850364,False
2017,-0.065204,25,0.48,0.032742515873015875,-0.5754829589206304,False
2017,0.08009154929577465,71,0.5352112676056338,0.12744733983840348,-0.7356639345436685,False
2017,-0.08065769230769229,104,0.41346153846153844,-0.029361089006778657,-1.0873884175674413,False
2017,-0.09212800000000002,25,0.32,-0.0006840321285140663,-1.1260054655768887,False
2017,0.029037499999999994,16,0.4375,0.064623005050505,-0.3880002787892067,False
2018,-0.21095999999999998,5,0.2,-0.11400109523809522,-1.1546922765496503,False
2018,0.022678125000000007,32,0.5,0.0680929217349552,-1.1141404352566433,False
2018,-0.021581249999999996,32,0.375,-0.04060761678455643,0.5483299196832983,False
2018,0.1398655172413793,29,0.6206896551724138,0.024927766791303135,0.9907465033971804,False
2018,0.015130769230769238,13,0.46153846153846156,0.013400534188034155,0.10441990070231434,False
2019,0.08439999999999999,3,0.6666666666666666,0.04404583908045976,0.33310082991003087,False
2019,0.06080000000000001,5,0.6,-0.01381298076923076,1.0501759425176025,False
2019,0.14316,5,0.6,0.08197655809859156,1.0152728642328288,False
2020,-0.3062,2,0.0,-0.19412133333333334,-0.9233914693879091,False
2020,0.11408333333333336,6,0.3333333333333333,0.09330715277777779,0.33045958640400214,False
2020,-0.3238,4,0.0,-0.09486041666666666,-1.1305600924364003,False
2020,-0.05992499999999998,4,0.5,0.12578929690560126,-1.1542464875526963,False
2021,-0.9001,1,0.0,-0.47242000000000006,-1.1452735032016959,False
2021,0.061228571428571424,7,0.42857142857142855,0.10615730158730159,-1.0816606947641394,False
2021,-0.30447142857142856,7,0.14285714285714285,-0.18915714285714283,-0.5321750949398868,False
2021,0.26772,5,0.6,0.1639951724137931,1.1033160341105654,False
2022,-0.35235,2,0.5,-0.3268738095238095,-1.0576811058832896,False
2022,0.0258,1,0.0,-0.3935,0.8938720479670588,False
2022,0.28512000000000004,5,0.8,0.1534773015873016,1.1248737000221922,False
2022,0.15146666666666667,9,0.6666666666666666,0.16786222222222225,-0.1767652853334308,False
