model,accuracy,macro_f1,weighted_f1
Multinomial Naive Bayes (midterm baseline),0.7138888888888889,0.7118910656946621,0.7118910656946622
Logistic Regression (enhanced),0.7083333333333334,0.7080949616417446,0.7080949616417445
Calibrated Linear SVM (enhanced),0.7083333333333334,0.707099026541916,0.707099026541916
